message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,Verified business account update from an active bank account,0.9,message_0243;message_0102;message_0101
msg_091,mute,scam,"Unverified sender asks for a login code, indicating a potential phishing attempt.",0.9,message_0238;message_0381
msg_090,digest,personal,casual one-to-one chat from an unfamiliar sender,0.9,none
msg_048,mute,scam,Admin notice with urgent payment demand from an unverified sender,0.9,message_0151;message_0150;message_0149
msg_040,mute,forward,High forwarded_count chain message from a muted group,0.9,message_0136;message_0259;message_0135
msg_075,digest,business_update,Verified business sending a routine update to a user who has engaged with the sender in the past.,0.9,message_0206;message_0205
msg_005,notify,personal,Direct mention of the user in a group conversation,1.0,message_0065;message_0231;message_0095
msg_104,digest,personal,casual one-to-one chat with a known sender,0.9,message_0050;message_0224;message_0232
msg_069,mute,greeting,High forwarded_count and user muted this group,0.9,message_0193;message_0177;message_0042
msg_107,mute,scam,Sender's domain does not match official domain and asks for OTP verification,1.0,message_0213;message_0056;message_0195
msg_070,mute,scam,Sender's domain does not match official domain and asks for urgent verification,1.0,message_0369;message_0213;message_0056
msg_003,digest,business_update,Verified business sending order update matching user's recent activity,0.9,message_0031;message_0400;message_0061
msg_099,digest,personal,trusted sender with a non-urgent personal update,0.9,message_0227;message_0249;message_0117
msg_008,digest,promotion,Verified business with matching domain sending a promotion to a user who has engaged with their past messages,0.9,message_0296;message_0072;message_0071
msg_092,digest,business_update,Verified business sending a routine account update,0.9,none
msg_060,notify,event,Trusted group admin sending a time-sensitive group update,1.0,message_0284;message_0176;message_0375
msg_004,digest,business_update,Verified business with matching domain sending a routine update,0.9,message_0245;message_0005;message_0064
msg_030,mute,promotion,"User has muted, dismissed, or opted out of this sender's messages.",0.85,message_0115;message_0335;message_0050
msg_045,digest,business_update,Verified business with matching domain sending a delivery update,0.9,message_0145;message_0146
msg_052,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,0.95,message_0207;message_0159;message_0208
msg_009,mute,greeting,"User has muted, dismissed, or opted out of this sender's messages.",0.9,message_0074;message_0073
msg_071,digest,personal,casual group chat from an active contact,0.9,message_0197;message_0198
msg_016,mute,scam,Domain mismatch and urgent verification pressure,1.0,message_0024;message_0087;message_0183
msg_065,digest,promotion,Promotion from an active business account with no safety risk signals,0.9,message_0261;message_0185;message_0186
msg_038,mute,forward,High forwarded_count chain message from a sender the user has muted before,0.9,message_0131;message_0132
msg_086,notify,business_update,Verified business with domain mismatch sending order update matching user's recent activity,0.9,message_0222
msg_014,mute,promotion,User opted out of food promotions and has dismissed all previous messages from this sender.,1.0,message_0017;message_0258;message_0018
msg_094,digest,promotion,"Verified business with no safety risk, but user has no prior relationship with the business.",0.8,none
msg_029,digest,promotion,Promotion from a familiar sender in a marketplace group,0.9,message_0095;message_0113;message_0332
msg_105,mute,forward,High forwarded_count chain message from a sender with a history of dismissed and muted messages,0.9,message_0233;message_0373
msg_002,notify,urgent,Direct mention of user and urgent request for call before meeting,1.0,message_0266;message_0003;message_0371
msg_010,digest,promotion,"Verified business with recent engagement, but opted out of promotions",0.8,message_0011;message_0242;message_0075
msg_078,mute,scam,High forwarded_count and suspicious content with urgent action request,0.9,message_0211;message_0212
msg_013,mute,promotion,"User has muted, dismissed, or opted out of this sender's messages.",0.85,message_0081;message_0082
msg_018,mute,scam,High forwarded_count and history of dismissed messages from this sender,0.9,message_0026;message_0091;message_0092
msg_044,mute,scam,Domain mismatch and urgent verification pressure,0.9,message_0143;message_0144;message_0036
msg_032,digest,event,"Group discussion about sharing slides, no safety risk",0.9,message_0119;message_0285;message_0120
msg_106,notify,event,trusted sender with recent history and no risk signals,0.95,message_0234;message_0376;message_0377
msg_006,digest,event,Group admin sent a non-urgent update in a society group,0.9,message_0029;message_0044;message_0067
msg_109,notify,urgent,Trusted admin sent a time-sensitive update with a direct ask,1.0,message_0151;message_0150;message_0099
msg_108,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,1.0,message_0094;message_0093;message_0236
msg_019,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,0.95,message_0094;message_0093;message_0236
msg_088,digest,personal,Sender is a marketplace group member with a history of dismissed messages,0.8,message_0115;message_0232;message_0050
msg_056,notify,urgent,Direct mention of the user with a time-sensitive request,1.0,message_0359;message_0226;message_0168
msg_027,digest,promotion,Verified business with mismatched domain sending travel package promotion,0.8,message_0272;message_0033;message_0007
msg_050,digest,business_update,Verified business with matching domain sending a legitimate update,0.9,message_0279;message_0155;message_0156
msg_083,digest,personal,Trusted group admin sent a non-urgent personal request,0.9,message_0219
msg_063,mute,scam,"Unverified sender asks for payment with a QR code, indicating a potential scam.",0.9,message_0182;message_0181
msg_033,digest,personal,casual greeting from an active contact,0.9,message_0121;message_0122;message_0372
msg_061,mute,greeting,High forwarded_count and user muted the group,0.9,message_0080;message_0042;message_0079
msg_020,mute,scam,Domain mismatch and urgent verification request from unverified sender,0.9,message_0114;message_0096;message_0066
